mode,exercise,processes,repeat,scale,total_time_seconds
strong,1,1,1,1,6.00684
strong,1,1,2,1,4.37481
strong,1,1,3,1,3.98788
strong,1,2,1,1,2.77313
strong,1,2,2,1,4.93821
strong,1,2,3,1,2.98166
strong,1,4,1,1,0.90731
strong,1,4,2,1,0.962758
strong,1,4,3,1,1.57101
strong,1,8,1,1,1.67716
strong,1,8,2,1,1.62524
strong,1,8,3,1,1.0697
strong,2,1,1,1,3.77535
strong,2,1,2,1,2.73653
strong,2,1,3,1,2.91224
strong,2,2,1,1,4.27239
strong,2,2,2,1,3.06983
strong,2,2,3,1,3.89628
strong,2,4,1,1,0.921392
strong,2,4,2,1,2.34602
strong,2,4,3,1,2.39579
strong,2,8,1,1,1.55928
strong,2,8,2,1,1.55641
strong,2,8,3,1,1.63146
strong,3,1,1,1,4.92854
strong,3,1,2,1,2.7714
strong,3,1,3,1,2.94591
strong,3,2,1,1,4.79492
strong,3,2,2,1,3.3475
strong,3,2,3,1,3.51264
strong,3,4,1,1,1.16532
strong,3,4,2,1,2.38199
strong,3,4,3,1,2.10174
strong,3,8,1,1,1.07789
strong,3,8,2,1,1.34092
strong,3,8,3,1,1.09016
strong,4,1,1,1,4.51909
strong,4,1,2,1,4.45719
strong,4,1,3,1,3.20992
strong,4,2,1,1,4.06486
strong,4,2,2,1,5.47833
strong,4,2,3,1,4.90114
strong,4,4,1,1,1.2371
strong,4,4,2,1,2.40126
strong,4,4,3,1,2.04455
strong,4,8,1,1,1.24602
strong,4,8,2,1,1.29935
strong,4,8,3,1,1.44341
strong,5,1,1,1,3.94947
strong,5,1,2,1,4.08785
strong,5,1,3,1,2.8719
strong,5,2,1,1,4.42612
strong,5,2,2,1,2.63923
strong,5,2,3,1,3.10813
strong,5,4,1,1,1.26458
strong,5,4,2,1,2.44479
strong,5,4,3,1,2.37855
strong,5,8,1,1,1.68203
strong,5,8,2,1,1.55499
strong,5,8,3,1,1.67414
strong,6,1,1,1,4.88684
strong,6,1,2,1,3.35978
strong,6,1,3,1,3.25711
strong,6,2,1,1,3.92429
strong,6,2,2,1,2.70781
strong,6,2,3,1,2.61085
strong,6,4,1,1,1.0304
strong,6,4,2,1,2.42205
strong,6,4,3,1,1.83381
strong,6,8,1,1,0.839243
strong,6,8,2,1,1.15916
strong,6,8,3,1,1.7102
